SMILES,HOMO,LUMO,J,V,FF,PCE,refJ,refV,refFF,refPCE,doi
COC1=CC=C(N(C2=CC=C(C3=C4C=C(N(C5=CC=C(OC)C=C5)C6=CC=C(OC)C=C6)C=C3)C(N4C7=CC=C(OC)C=C7)=C2)C8=CC=C(OC)C=C8)C=C1,-5.43,0.5,17.14,0.76,0.58,7.6,16.82,0.83,0.73,10.2,10.1002/adma.201402415
CCCCCCCCC1(CCCCCCCC)C2=C(C=CC(C3=CC4=C(C(C=CC=C5)=C5C46C7=C(C8=C6C=CC=C8)C=CC=C7)C=C3)=C2)C9=C1C=C(N(C%10=CC(C%11(CCCCCCCC)CCCCCCCC)=C(C%12=C%11C=C(C%13=CC%14=C(C(C=CC=C%15)=C%15C%14%16C%17=C(C%18=C%16C=CC=C%18)C=CC=C%17)C=C%13)C=C%12)C=C%10)C%19=CC=C(N(C%20=C%21C=CC=C%20)C%22=C%21C=CC=C%22)C=C%19)C=C9,-5.26,-2.37,20.91,1.09,0.75,17.21,20.71,1.05,0.77,16.67,10.1002/adma.201503729
CCCCCCCCC1(CCCCCCCC)C2=C(C=CC(C3=CC4=C(C(C=CC(C#N)=C5)=C5C46C7=C(C8=C6C=CC=C8)C=CC=C7)C=C3)=C2)C9=C1C=C(N(C%10=CC(C%11(CCCCCCCC)CCCCCCCC)=C(C%12=C%11C=C(C%13=CC%14=C(C(C=CC(C#N)=C%15)=C%15C%14%16C%17=C(C%18=C%16C=CC=C%18)C=CC=C%17)C=C%13)C=C%12)C=C%10)C%19=CC=C(N(C%20=C%21C=CC=C%20)C%22=C%21C=CC=C%22)C=C%19)C=C9,-5.27,-2.57,20.38,1.04,0.76,16.04,20.71,1.05,0.77,16.67,10.1002/adma.201503729
COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C3=CC4=C5C(C=C(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)S5)=C8C(C=C(N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)S8)=C4S3,-5.2,-,20.4,1.04,0.72,16,21.6,1.09,0.77,18.1,10.1002/anie.201511877
COC(C=C1)=CC=C1N(C2=CC(C3=C4C=CC(N(C5=CC=C(OC)C=C5)C6=CC=C(OC)C=C6)=C3)=C(C=C2)N4C7=CC8=C9C(C=C(N%10C(C=CC(N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)=C%13)=C%13C%14=C%10C=CC(N(C%15=CC=C(OC)C=C%15)C%16=CC=C(OC)C=C%16)=C%14)S9)=C%17C(C=C(N%18C(C=CC(N(C%19=CC=C(OC)C=C%19)C%20=CC=C(OC)C=C%20)=C%21)=C%21C%22=C%18C=CC(N(C%23=CC=C(OC)C=C%23)C%24=CC=C(OC)C=C%24)=C%22)S%17)=C8S7)C%25=CC=C(OC)C=C%25,-5.2,-,20.6,1.09,0.77,17,21.6,1.09,0.77,18.1,10.1002/anie.201511877
COC(C=C1)=CC=C1N(C2=CC=C(C3=CC4=C5C(C=C(C6=CC=C(N(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)C=C6)S5)=C9C(C=C(C%10=CC=C(N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)C=C%10)S9)=C4S3)C=C2)C%13=CC=C(OC)C=C%13,-5.4,-,21.9,1.07,0.77,18.2,21.6,1.09,0.77,18.1,10.1002/anie.201511877
COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C3=CC=C4C(C(OC5(C6=C7SC=C6)C8=CC(N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)=CC=C8C%11=C5C=C(N(C%12=CC=C(OC)C=C%12)C%13=CC=C(OC)C=C%13)C=C%11)(C%14=C7SC=C%14)C%15=C4C=CC(N(C%16=CC=C(OC)C=C%16)C%17=CC=C(OC)C=C%17)=C%15)=C3,-5.07,-2.05,22.37,1.1,0.79,19.4,22.44,1.12,0.75,18.8,10.1039/C6TA09028A
COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C3=CC(/C(C4=C5C=CC(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)=C4)=C/C8=CC(/C=C(C9=C%10C=CC(N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)=C9)/C%13=C%10C=CC(N(C%14=CC=C(OC)C=C%14)C%15=CC=C(OC)C=C%15)=C%13)=CC(C=C(C%16=C%17C=CC(N(C%18=CC=C(OC)C=C%18)C%19=CC=C(OC)C=C%19)=C%16)C%20=C%17C=CC(N(C%21=CC=C(OC)C=C%21)C%22=CC=C(OC)C=C%22)=C%20)=C8)=C5C=C3,-,-,21.7,1.14,0.71,17.77,22.3,1.12,0.73,18.25,10.1039/C5EE03911H
COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C3=CC(/C(C4=C5C=CC(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)=C4)=C/C8=C(C=C(C9=C%10C=CC(N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)=C9)C%13=C%10C=CC(N(C%14=CC=C(OC)C=C%14)C%15=CC=C(OC)C=C%15)=C%13)C=CC=C8)=C5C=C3,-,-,23.3,1.12,0.75,19.47,22.3,1.12,0.73,18.25,10.1039/C5EE03911H
COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C3=CC(/C(C4=C5C=CC(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)=C4)=C\C8=CC=C(/C=C(C9=C%10C=CC(N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)=C9)\C%13=C%10C=CC(N(C%14=CC=C(OC)C=C%14)C%15=CC=C(OC)C=C%15)=C%13)S8)=C5C=C3,-,-,22.5,1.14,0.77,19.96,22.3,1.15,0.73,18.25,10.1039/C5EE03911H
